+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                   ;
+-----------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                               ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; TopHarness|chiptop0|system_debug_systemjtag_reset_catcher|io_sync_reset_chain|output_chain                                              ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system_debug_systemjtag_reset_catcher|io_sync_reset_chain                                                           ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system_debug_systemjtag_reset_catcher                                                                               ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|iocell_serial_tl_clock                                                                                              ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|iocell_serial_tl_bits_in_ready                                                                                      ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|iocell_serial_tl_bits_in_valid                                                                                      ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|iocell_serial_tl_bits_in_bits_7                                                                                     ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|iocell_serial_tl_bits_in_bits_6                                                                                     ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|iocell_serial_tl_bits_in_bits_5                                                                                     ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|iocell_serial_tl_bits_in_bits_4                                                                                     ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|iocell_serial_tl_bits_in_bits_3                                                                                     ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|iocell_serial_tl_bits_in_bits_2                                                                                     ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|iocell_serial_tl_bits_in_bits_1                                                                                     ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|iocell_serial_tl_bits_in_bits                                                                                       ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|iocell_serial_tl_bits_out_ready                                                                                     ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|iocell_serial_tl_bits_out_valid                                                                                     ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|iocell_serial_tl_bits_out_bits_7                                                                                    ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|iocell_serial_tl_bits_out_bits_6                                                                                    ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|iocell_serial_tl_bits_out_bits_5                                                                                    ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|iocell_serial_tl_bits_out_bits_4                                                                                    ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|iocell_serial_tl_bits_out_bits_3                                                                                    ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|iocell_serial_tl_bits_out_bits_2                                                                                    ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|iocell_serial_tl_bits_out_bits_1                                                                                    ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|iocell_serial_tl_bits_out_bits                                                                                      ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|dtm|tapIO_bypassChain                                                                                        ; 6     ; 0              ; 2            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|dtm|tapIO_controllerInternal|irChain                                                                         ; 6     ; 0              ; 1            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|dtm|tapIO_controllerInternal|stateMachine                                                                    ; 3     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|dtm|tapIO_controllerInternal                                                                                 ; 6     ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|dtm|tapIO_idcodeChain                                                                                        ; 6     ; 0              ; 2            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|dtm|dmiAccessChain                                                                                           ; 47    ; 0              ; 1            ; 0              ; 44     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|dtm|dtmInfoChain                                                                                             ; 8     ; 0              ; 1            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|dtm                                                                                                          ; 40    ; 0              ; 0            ; 0              ; 44     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|clockGroupCombiner                                                                                           ; 2     ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|frequencySpecifier                                                                                           ; 12    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|clockNamePrefixer                                                                                            ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|aggregator                                                                                                   ; 12    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|prci_ctrl_domain|reset_setter                                                                                ; 39    ; 66             ; 21           ; 66             ; 82     ; 66              ; 66            ; 66              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|prci_ctrl_domain|clock_gater|regs_0                                                                          ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|prci_ctrl_domain|clock_gater                                                                                 ; 112   ; 65             ; 82           ; 65             ; 82     ; 65              ; 65            ; 65              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|prci_ctrl_domain|resetSynchronizer|x1_member_allClocks_uncore_reset_catcher|io_sync_reset_chain|output_chain ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|prci_ctrl_domain|resetSynchronizer|x1_member_allClocks_uncore_reset_catcher|io_sync_reset_chain              ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|prci_ctrl_domain|resetSynchronizer|x1_member_allClocks_uncore_reset_catcher                                  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|prci_ctrl_domain|resetSynchronizer                                                                           ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|prci_ctrl_domain|xbar                                                                                        ; 271   ; 0              ; 0            ; 0              ; 226    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|prci_ctrl_domain                                                                                             ; 113   ; 0              ; 0            ; 0              ; 82     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|intsink_19                                                                                                   ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|spiClockDomainWrapper_1|spi_0|mac|phy                                                                        ; 60    ; 0              ; 0            ; 0              ; 23     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|spiClockDomainWrapper_1|spi_0|mac                                                                            ; 94    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|spiClockDomainWrapper_1|spi_0|fifo|rxq|ram_ext                                                               ; 18    ; 1              ; 1            ; 1              ; 8      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|spiClockDomainWrapper_1|spi_0|fifo|rxq                                                                       ; 12    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|spiClockDomainWrapper_1|spi_0|fifo|txq|ram_ext                                                               ; 18    ; 1              ; 1            ; 1              ; 8      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|spiClockDomainWrapper_1|spi_0|fifo|txq                                                                       ; 12    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|spiClockDomainWrapper_1|spi_0|fifo                                                                           ; 40    ; 4              ; 0            ; 4              ; 35     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|spiClockDomainWrapper_1|spi_0|intsource|reg_0                                                                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|spiClockDomainWrapper_1|spi_0|intsource                                                                      ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|spiClockDomainWrapper_1|spi_0                                                                                ; 125   ; 28             ; 51           ; 28             ; 95     ; 28              ; 28            ; 28              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|spiClockDomainWrapper_1                                                                                      ; 125   ; 0              ; 0            ; 0              ; 95     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|intsink_18                                                                                                   ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|spiClockDomainWrapper|spi_0|mac|phy                                                                          ; 60    ; 0              ; 0            ; 0              ; 23     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|spiClockDomainWrapper|spi_0|mac                                                                              ; 94    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|spiClockDomainWrapper|spi_0|fifo|rxq|ram_ext                                                                 ; 18    ; 1              ; 1            ; 1              ; 8      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|spiClockDomainWrapper|spi_0|fifo|rxq                                                                         ; 12    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|spiClockDomainWrapper|spi_0|fifo|txq|ram_ext                                                                 ; 18    ; 1              ; 1            ; 1              ; 8      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|spiClockDomainWrapper|spi_0|fifo|txq                                                                         ; 12    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|spiClockDomainWrapper|spi_0|fifo                                                                             ; 40    ; 4              ; 0            ; 4              ; 35     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|spiClockDomainWrapper|spi_0|intsource|reg_0                                                                  ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|spiClockDomainWrapper|spi_0|intsource                                                                        ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|spiClockDomainWrapper|spi_0                                                                                  ; 125   ; 28             ; 51           ; 28             ; 95     ; 28              ; 28            ; 28              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|spiClockDomainWrapper                                                                                        ; 125   ; 0              ; 0            ; 0              ; 95     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|intsink_17                                                                                                   ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|gpioClockDomainWrapper|gpio_0|iofEnReg                                                                       ; 11    ; 9              ; 0            ; 9              ; 8      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|gpioClockDomainWrapper|gpio_0|inSyncReg_inSyncReg|output_chain_7                                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|gpioClockDomainWrapper|gpio_0|inSyncReg_inSyncReg|output_chain_6                                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|gpioClockDomainWrapper|gpio_0|inSyncReg_inSyncReg|output_chain_5                                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|gpioClockDomainWrapper|gpio_0|inSyncReg_inSyncReg|output_chain_4                                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|gpioClockDomainWrapper|gpio_0|inSyncReg_inSyncReg|output_chain_3                                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|gpioClockDomainWrapper|gpio_0|inSyncReg_inSyncReg|output_chain_2                                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|gpioClockDomainWrapper|gpio_0|inSyncReg_inSyncReg|output_chain_1                                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|gpioClockDomainWrapper|gpio_0|inSyncReg_inSyncReg|output_chain                                               ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|gpioClockDomainWrapper|gpio_0|inSyncReg_inSyncReg                                                            ; 9     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|gpioClockDomainWrapper|gpio_0|poeReg                                                                         ; 11    ; 9              ; 0            ; 9              ; 8      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|gpioClockDomainWrapper|gpio_0|ieReg                                                                          ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|gpioClockDomainWrapper|gpio_0|pueReg                                                                         ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|gpioClockDomainWrapper|gpio_0|oeReg                                                                          ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|gpioClockDomainWrapper|gpio_0|intsource|reg_0                                                                ; 11    ; 1              ; 0            ; 1              ; 8      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|gpioClockDomainWrapper|gpio_0|intsource                                                                      ; 10    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|gpioClockDomainWrapper|gpio_0                                                                                ; 129   ; 50             ; 76           ; 50             ; 144    ; 50              ; 50            ; 50              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|gpioClockDomainWrapper                                                                                       ; 129   ; 0              ; 0            ; 0              ; 144    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|intsink_16                                                                                                   ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|uartClockDomainWrapper|uart_0|rxq|ram_ext                                                                    ; 18    ; 1              ; 1            ; 1              ; 8      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|uartClockDomainWrapper|uart_0|rxq                                                                            ; 12    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|uartClockDomainWrapper|uart_0|rxm                                                                            ; 20    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|uartClockDomainWrapper|uart_0|txq|ram_ext                                                                    ; 18    ; 1              ; 1            ; 1              ; 8      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|uartClockDomainWrapper|uart_0|txq                                                                            ; 12    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|uartClockDomainWrapper|uart_0|txm                                                                            ; 29    ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|uartClockDomainWrapper|uart_0|intsource|reg_0                                                                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|uartClockDomainWrapper|uart_0|intsource                                                                      ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|uartClockDomainWrapper|uart_0                                                                                ; 122   ; 32             ; 62           ; 32             ; 82     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|uartClockDomainWrapper                                                                                       ; 122   ; 0              ; 0            ; 0              ; 82     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|ram_1|mem|sha3|core                                                                                          ; 1030  ; 0              ; 1026         ; 0              ; 514    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|ram_1|mem|sha3                                                                                               ; 44    ; 1              ; 0            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|ram_1|mem                                                                                                    ; 84    ; 32             ; 4            ; 32             ; 64     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|ram_1                                                                                                        ; 121   ; 2              ; 22           ; 2              ; 80     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|ram|mem|mem_ext|mem_0_7                                                                                      ; 23    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|ram|mem|mem_ext|mem_0_6                                                                                      ; 23    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|ram|mem|mem_ext|mem_0_5                                                                                      ; 23    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|ram|mem|mem_ext|mem_0_4                                                                                      ; 23    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|ram|mem|mem_ext|mem_0_3                                                                                      ; 23    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|ram|mem|mem_ext|mem_0_2                                                                                      ; 23    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|ram|mem|mem_ext|mem_0_1                                                                                      ; 23    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TopHarness|chiptop0|system|ram|mem|mem_ext|mem_0_0                                                                                      ; 23    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
